Datetime,SAUXX,TURXX,INDXX,CHNHK,CHNMA ,CHNAN ,CHNBE,CHNCH,CHNFU,CHNGA,CHNGD,CHNGX,CHNGU,CHNHA,CHNHB,CHNHJ,CHNHE,CHNHU,CHNHN,CHNWM,CHNEM,CHNJS,CHNJX,CHNJI,CHNLI,CHNNI,CHNQI,CHNSI,CHNSD,CHNSH,CHNSX,CHNSC,CHNTJ,CHNTI,CHNXI,CHNYU,CHNZH
01/01/2015 00:00,0,0,3.82E-09,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711,0.000624711
01/01/2015 01:00,0,0,0.000928594,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148,0.024964148
01/01/2015 02:00,0,0,0.03786838,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797,0.153165797
01/01/2015 03:00,1.41E-07,0,0.180638372,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988,0.347293988
01/01/2015 04:00,0.008651697,0,0.357704738,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531,0.497251531
01/01/2015 05:00,0.114389122,0.000652358,0.496200571,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726,0.591349726
01/01/2015 06:00,0.311259954,0.03564257,0.583204443,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207,0.624883207
01/01/2015 07:00,0.497327682,0.14330797,0.630701429,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691,0.612157691
01/01/2015 08:00,0.641223587,0.292107579,0.610908306,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197,0.538034197
01/01/2015 09:00,0.72221034,0.418516718,0.548657608,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083,0.386276083
