CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY
ZAFXX,SPV,2021,2051,1.2
ZAFXX,SPV,2018,2048,1.8
ZAFXX,SPV,2014,2044,75
ZAFXX,SPV,2014,2044,75
ZAFXX,SPV,2014,2044,40
ZAFXX,SPV,2023,2053,86
ZAFXX,SPV,2022,2052,1.8
ZAFXX,SPV,2021,2051,3.6
ZAFXX,SPV,2017,2047,2.1
ZAFXX,SPV,2020,2050,1.2
ZAFXX,SPV,2022,2052,10.3
ZAFXX,SPV,2018,2048,1.1
ZAFXX,SPV,2024,2054,130
ZAFXX,SPV,2024,2054,136
ZAFXX,SPV,2023,2053,1.3
ZAFXX,SPV,2022,2052,1.3
ZAFXX,SPV,2013,2043,20
ZAFXX,SPV,2016,2046,86
ZAFXX,SPV,2014,2044,19.1
ZAFXX,SPV,2016,2046,86
ZAFXX,SPV,2017,2047,1.2
ZAFXX,SPV,2016,2046,83
ZAFXX,SPV,2019,2049,1.2
ZAFXX,SPV,2020,2050,1.4
ZAFXX,SPV,2017,2047,1.3
ZAFXX,SPV,2017,2047,83
ZAFXX,SPV,2024,2054,100
ZAFXX,SPV,2014,2044,75
ZAFXX,SPV,2017,2047,2.4
ZAFXX,SPV,2020,2050,2.4
ZAFXX,SPV,2013,2043,6.9
ZAFXX,SPV,2017,2047,1.7
ZAFXX,SPV,2023,2053,10
ZAFXX,SPV,2014,2044,94
ZAFXX,SPV,2017,2047,1.9
ZAFXX,SPV,2017,2047,1.4
ZAFXX,SPV,2015,2045,5
ZAFXX,SPV,2020,2050,1.1
ZAFXX,SPV,2022,2052,50
ZAFXX,SPV,2014,2044,31
ZAFXX,SPV,2017,2047,1.4
ZAFXX,SPV,2015,2045,5
ZAFXX,SPV,2017,2047,1.1
ZAFXX,SPV,2017,2047,1.5
ZAFXX,SPV,2023,2053,1.9
ZAFXX,SPV,2021,2051,2.1
ZAFXX,SPV,2022,2052,2.5
ZAFXX,SPV,2021,2051,2.6
ZAFXX,SPV,2021,2051,1.1
ZAFXX,SPV,2016,2046,66
ZAFXX,SPV,2014,2044,44
ZAFXX,SPV,2023,2053,1.3
ZAFXX,SPV,2020,2050,86
ZAFXX,SPV,2020,2050,86
ZAFXX,SPV,2020,2050,86
ZAFXX,SPV,2014,2044,8.9
ZAFXX,SPV,2017,2047,10
ZAFXX,SPV,2022,2052,2.7
ZAFXX,SPV,2014,2044,8.8
ZAFXX,SPV,2020,2050,86
ZAFXX,SPV,2022,2052,7.9
ZAFXX,SPV,2023,2053,10.8
ZAFXX,SPV,2015,2045,30
ZAFXX,SPV,2023,2053,6.3
ZAFXX,SPV,2020,2050,2
ZAFXX,SPV,2022,2052,1.5
ZAFXX,SPV,2017,2047,100
ZAFXX,SPV,2021,2051,75
ZAFXX,SPV,2030,2060,148
ZAFXX,SPV,2030,2060,75
ZAFXX,SPV,2025,2055,75
ZAFXX,SPV,2025,2055,75
ZAFXX,SPV,2025,2055,75
ZAFXX,SPV,2025,2055,75
ZAFXX,SPV,2025,2055,75
ZAFXX,SPV,2025,2055,137
ZAFXX,SPV,2025,2055,216
ZAFXX,SPV,2030,2060,180
ZAFXX,SPV,2025,2055,80
ZAFXX,SPV,2025,2055,65
ZAFXX,SPV,2025,2055,30
ZAFXX,SPV,2030,2060,150
ZAFXX,SPV,2030,2060,342
ZAFXX,SPV,2026,2056,120
ZAFXX,SPV,2030,2060,40
ZAFXX,SPV,2017,2047,75
ZAFXX,SPV,2021,2051,10
ZAFXX,SPV,2020,2050,46
ZAFXX,SPV,2023,2053,2.5
