CUSTOM_NODE,YEAR,VALUE
GHAXX,2021,60.7032
GHAXX,2022,63.0144
GHAXX,2023,67.6728
GHAXX,2024,69.7706568
GHAXX,2025,71.93354716
GHAXX,2026,74.16348712
GHAXX,2027,76.46255522
GHAXX,2028,78.83289444
GHAXX,2029,81.27671416
GHAXX,2030,83.7962923
GHAXX,2031,86.39397736
GHAXX,2032,89.07219066
GHAXX,2033,91.83342857
GHAXX,2034,94.68026486
GHAXX,2035,97.61535307
GHAXX,2036,100.641429
GHAXX,2037,103.7613133
GHAXX,2038,106.977914
GHAXX,2039,110.2942294
GHAXX,2040,113.7133505
GHAXX,2041,117.2384643
GHAXX,2042,120.8728567
GHAXX,2043,124.6199153
GHAXX,2044,128.4831327
GHAXX,2045,132.4661098
GHAXX,2046,136.5725592
GHAXX,2047,140.8063085
GHAXX,2048,145.1713041
GHAXX,2049,149.6716145
GHAXX,2050,154.3114346
